Sent_Date,Day_of_week,Category_name,Main_Vs_REM,Subject,Sendings,OR,Length_Of_subject,Personalization,Emoji,Urgency,Tone,Price_or_Discount,Imperative_Tone,Product,Letter_Count,Month
2024-11-22,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,7110,0.1013,short,no,no,no,yes,yes,yes,yes,33,November
2024-04-23,Sunday,NL Interval,MAIN,Skynda dig | -54% på XXL-Canvastavla!,2259,0.1607,short,no,no,yes,yes,yes,yes,yes,24,April
2024-02-02,Wednesday,NL Interval,MAIN,Dekorativ inredning för hemmet till de bästa priset,2082,0.0778,short,no,no,no,no,no,no,yes,42,February
2024-08-16,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,3012,0.1225,short,no,no,no,yes,yes,yes,yes,33,August
2024-07-16,Sunday,NL Interval,MAIN,Skynda dig | -54% på XXL-Canvastavla!,3117,0.1251,short,no,no,yes,yes,yes,yes,yes,24,July
2024-08-18,Friday,NL Interval,MAIN,Upp till -63% på favorit Väggdekorationer!,3576,0.1669,short,no,no,no,no,yes,no,yes,30,August
2024-04-05,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,1086,0.1519,short,no,no,no,yes,yes,yes,yes,33,April
2024-06-30,Friday,NL Interval,MAIN,2 dagar | Canvastavlor från endast 185 kr!,2778,0.1188,short,no,no,yes,no,yes,no,yes,28,June
2024-12-14,Thursday,NL Final,REM,&#x1f92b; Tiden håller på att rinna ut! Mysterierabatten upphör snart att gälla!,9036,0.089,long,no,yes,yes,yes,no,no,no,54,December
2024-08-13,Sunday,NL Interval,MAIN,Skynda dig | -54% på XXL-Canvastavla!,3324,0.1182,short,no,no,yes,yes,yes,yes,yes,24,August
2024-03-04,Friday,NL Interval,MAIN,Personlig väggdekoration till fantastiska priser!,3462,0.0719,short,no,no,no,no,no,no,yes,43,March
2024-06-28,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,2814,0.1258,short,no,no,no,yes,yes,yes,yes,33,June
2024-02-01,Wednesday,NL Interval,MAIN,Personlig väggdekoration till fantastiska priser!,13737,0.0989,short,no,no,no,no,no,no,yes,43,February
2024-03-01,Wednesday,NL Interval,MAIN,Dekorativ inredning för hemmet till de bästa priset,228,0.2763,short,no,no,no,no,no,no,yes,42,March
2024-06-07,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,1188,0.1237,short,no,no,no,yes,yes,yes,yes,33,June
2024-05-24,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,357,0.1176,short,no,no,no,yes,yes,yes,yes,33,May
2024-12-01,Friday,NL Interval,MAIN,Otroligt ✨ 3 XXL-format för 249 kr styck,11295,0.17,short,no,yes,no,yes,yes,no,no,26,December
2024-09-08,Friday,NL Interval,MAIN,Upp till -63% på favorit Väggdekorationer!,3747,0.1633,short,no,no,no,no,yes,no,yes,30,September
2024-09-13,Wednesday,NL Interval,MAIN,Skynda dig! Väggdekor från endast 39kr!,3921,0.1561,short,no,no,yes,yes,yes,yes,yes,28,September
2024-09-01,Friday,NL Interval,MAIN,Otroligt ✨ 3 XXL-format för 249 kr styck,5427,0.1205,short,no,yes,no,yes,yes,no,no,26,September
